t,k,delta_cdm,delta_dot_cdm
0.28242413260784344,0.001,2.3652356408658067e+34,2.675861999638922e+35
0.28768540901905926,0.001,2.507724810959801e+34,2.738603176063627e+35
0.29304469769721425,0.001,2.656204275632394e+34,2.800143248586779e+35
0.2985038245118731,0.001,2.8107644886655617e+34,2.860407093539423e+35
0.3040646493467067,0.001,2.971485669778621e+34,2.91933170582363e+35
0.3097290667331408,0.001,3.138471149964107e+34,2.9768133836778238e+35
0.3154990064958087,0.001,3.311823858698217e+34,3.0327623923764558e+35
0.3213764344100277,0.001,3.4916370444336365e+34,3.0871022899266877e+35
0.32736335287152457,0.001,3.6779989614635564e+34,3.139758510509032e+35
0.3334618015786364,0.001,3.8709923970359995e+34,3.1906589866393698e+35
0.33967385822722074,0.001,4.0706941836541745e+34,3.239734844601258e+35
0.34600163921851085,0.001,4.277174697719747e+34,3.28692118010129e+35
0.35244730038015837,0.001,4.4904973459367315e+34,3.332157921703677e+35
0.35901303770070686,0.001,4.710718041185906e+34,3.375390790253658e+35
0.365701088077749,0.001,4.937884669906455e+34,3.416572363206907e+35
0.372513730080021,0.001,5.172036553386099e+34,3.455663253548005e+35
0.37945328472369383,0.001,5.413203905767161e+34,3.492633413810188e+35
0.38652211626312616,0.001,5.661407292027917e+34,3.527463576605875e+35
0.3937226329963479,0.001,5.916657089700391e+34,3.560146844048532e+35
0.4010572880855496,0.001,6.178952958642436e+34,3.590690439497058e+35
0.4085285803928561,0.001,6.448290987616167e+34,3.6190986293043615e+35
0.41613905533167067,0.001,6.724691129436652e+34,3.645336869715095e+35
0.42389130573387784,0.001,7.008170146588227e+34,3.669393455056164e+35
0.43178797273320213,0.001,7.298736579797421e+34,3.691262324300597e+35
0.4398317466650224,0.001,7.596390889456293e+34,3.710941924438227e+35
0.44802536798294895,0.001,7.901125368867769e+34,3.728435322748354e+35
0.45637162819247584,0.001,8.2129241238850155e+34,3.743750288312219e+35
0.4648733708020257,0.001,8.531763129872314e+34,3.75689933706177e+35
0.4735334922917116,0.001,8.857610378149404e+34,3.767899733989781e+35
0.48235494310014676,0.001,9.190426125435328e+34,3.776773445408444e+35
0.4913407286296362,0.001,9.530163261292191e+34,3.783547033333107e+35
0.5004939102700954,0.001,9.87676781019574e+34,3.788251483178378e+35
0.5098176064420424,0.001,1.0230179586640436e+35,3.790921954978186e+35
0.5193149936590212,0.001,1.0590333023635897e+35,3.791597447272004e+35
0.5289893076098151,0.001,1.0957158197083452e+35,3.790320361627826e+35
0.5388438442608223,0.001,1.1330582070852775e+35,3.787135954489697e+35
0.5488819609789671,0.001,1.171052998992587e+35,3.782091661633696e+35
0.559107077675529,0.001,1.2096927451758448e+35,3.775236278980747e+35
0.5695226779712822,0.001,1.248968292986351e+35,3.7666281475748644e+35
0.5801323103833375,0.001,1.288870259881185e+35,3.756319238842909e+35
0.5909395895340968,0.001,1.3293925690732767e+35,3.7443400777987985e+35
0.6019481973827271,0.001,1.3705283723900417e+35,3.730725329593637e+35
0.6131618844795772,0.001,1.4122700002423084e+35,3.7155140572534406e+35
0.6245844712439614,0.001,1.454608980111562e+35,3.698749585973441e+35
0.6362198492657485,0.001,1.4975360646575084e+35,3.6804793032112655e+35
0.6480719826311967,0.001,1.541041270781927e+35,3.660754385484849e+35
0.6601449092734886,0.001,1.5851139311261615e+35,3.639629441802755e+35
0.6724427423484246,0.001,1.6297427596342032e+35,3.6171620625837084e+35
0.6849696716357443,0.001,1.674915932982322e+35,3.593412261750535e+35
0.6977299649665534,0.001,1.7206211898608622e+35,3.5684417984023054e+35
0.7107279696773416,0.001,1.7668459502954687e+35,3.5423133630679234e+35
0.7239681140910874,0.001,1.8135774574151716e+35,3.515089612014015e+35
0.7374549090259551,0.001,1.8608029443149884e+35,3.48683203140872e+35
0.7511929493320965,0.001,1.9085098289227264e+35,3.4575996113184374e+35
0.7651869154570822,0.001,1.9566859400654153e+35,3.427447307523608e+35
0.7794415750404946,0.001,2.0053197782422302e+35,3.39642426696781e+35
0.7939617845382279,0.001,2.0544008149501232e+35,3.3645717902862566e+35
0.8087524908770453,0.001,2.1039198347780122e+35,3.3319210022784134e+35
0.8238187331399606,0.001,2.1538663017303145e+35,3.298513920957161e+35
0.8391656442830157,0.001,2.204222003077296e+35,3.2644498574769945e+35
0.8547984528840409,0.001,2.254976095723399e+35,3.2297652899065377e+35
0.8707224849239917,0.001,2.3061180373009833e+35,3.1944925854711e+35
0.8869431656014709,0.001,2.3576368130629604e+35,3.1586662904146743e+35
0.9034660211810525,0.001,2.409520959899363e+35,3.1223230304116523e+35
0.920296680876041,0.001,2.4617585960613974e+35,3.0855013775444134e+35
0.9374408787662991,0.001,2.5143374572463465e+35,3.0482416793929658e+35
0.9549044557518077,0.001,2.567244939758582e+35,3.010585845317446e+35
0.9726933615426169,0.001,2.6204681515290942e+35,2.972577084505661e+35
0.9908136566858666,0.001,2.673993971849021e+35,2.9342595898020447e+35
1.0092715146305709,0.001,2.7278091207519866e+35,2.895678160727388e+35
1.0280732238308647,0.001,2.781900239066257e+35,2.8568777584360334e+35
1.0472251898884344,0.001,2.8362539802512822e+35,2.8179029846340784e+35
1.066733937734857,0.001,2.8908571152348066e+35,2.7787974756932753e+35
1.0866061138545968,0.001,2.9456966515769814e+35,2.7396032023351557e+35
1.106848488549412,0.001,3.0007599684075572e+35,2.7003596643222683e+35
1.127467958244946,0.001,3.0560349687120567e+35,2.661102968571721e+35
1.148471547840289,0.001,3.1115102506835967e+35,2.6218647779932614e+35
1.1698664131013068,0.001,3.1671753000097107e+35,2.582671117142194e+35
1.1916598430985588,0.001,3.2230207051290825e+35,2.543541019458043e+35
1.2138592626906277,0.001,3.2790383976725193e+35,2.504484999424029e+35
1.236472235053715,0.001,3.335221920497002e+35,2.4655033314202038e+35
1.2595064642583575,0.001,3.3915647547418345e+35,2.4266083132102887e+35
1.2829697978941474,0.001,3.4480540124767956e+35,2.3878660728764156e+35
1.3068702297433463,0.001,3.504677843435307e+35,2.3492969873945653e+35
1.3312159025043078,0.001,3.561424640601627e+35,2.3109178358517293e+35
1.3560151105656333,0.001,3.6182828612840695e+35,2.2727453226672563e+35
1.3812763028320094,0.001,3.675241058230543e+35,2.2347960295299374e+35
1.407008085602685,0.001,3.7322879114960445e+35,2.1970863643089872e+35
1.433219225503574,0.001,3.789412260870856e+35,2.159632506892331e+35
1.4599186524739787,0.001,3.8466031386427995e+35,2.1224503519187535e+35
1.4871154628089538,0.001,3.903849802427342e+35,2.085555448385821e+35
1.5148189222583457,0.001,3.961141767755197e+35,2.0489629361332737e+35
1.5430384691835646,0.001,4.018468840057962e+35,2.0126874792221122e+35
1.5717837177731626,0.001,4.075821145637676e+35,1.9767431962531335e+35
1.6010644613183176,0.001,4.133189161145505e+35,1.941143587695524e+35
1.6308906755493326,0.001,4.190563741027491e+35,1.905901460326695e+35
1.661272522034293,0.001,4.247936142320757e+35,1.8710288489191708e+35
1.6922203516410372,0.001,4.305298046101142e+35,1.8365369353494776e+35
1.72374470806362,0.001,4.362641574792048e+35,1.802435965348091e+35
1.7558563314144686,0.001,4.419959304443739e+35,1.7687351631590633e+35
1.7885661618834618,0.001,4.477244270981272e+35,1.7354426444335436e+35
1.8218853434651652,0.001,4.534489969296955e+35,1.702565327743615e+35
1.855825227755517,0.001,4.5916903439285576e+35,1.670108845172348e+35
1.8903973778192196,0.001,4.648839769916167e+35,1.6380774525134891e+35
1.9256135721291967,0.001,4.7059330222678084e+35,1.6064739397003814e+35
1.9614858085794296,0.001,4.762965232284735e+35,1.5752995421796564e+35
1.9980263085725487,0.001,4.8199318288008094e+35,1.5445538540516093e+35
2.035247521183576,0.001,4.87682846217466e+35,1.5142347439171488e+35
2.073162127401229,0.001,4.9336509086367595e+35,1.4843382745018284e+35
2.111783044448242,0.001,4.990394952334342e+35,1.4548586272719283e+35
2.1511234301821647,0.001,5.047056880835541e+35,1.4257900300780923e+35
2.1911966875781475,0.001,5.103632104243288e+35,1.397138156376907e+35
2.2320164692952322,0.001,5.160110815481901e+35,1.368909634494188e+35
2.273596682327715,0.001,5.216483369594612e+35,1.3411097238661128e+35
2.3159514927431517,0.001,5.27274073585771e+35,1.3137426651974646e+35
2.3590953305086337,0.001,5.3288745300197556e+35,1.2868116520172745e+35
2.403042894406967,0.001,5.3848770419627906e+35,1.2603188101336383e+35
2.44780915704444,0.001,5.440741257748974e+35,1.2342651864832383e+35
2.493409369951878,0.001,5.496460874885891e+35,1.208650749049121e+35
2.5398590687807236,0.001,5.552030309500367e+35,1.183474399716004e+35
2.587174078595921,0.001,5.607444693952651e+35,1.1587340021474804e+35
2.635370519267393,0.001,5.662699863248913e+35,1.1344264270056904e+35
2.684464810961962,0.001,5.717792328418897e+35,1.110547617093221e+35
2.73447367973758,0.001,5.772719234815406e+35,1.08709267528127e+35
2.7854141632417657,0.001,5.827478303061634e+35,1.064055978399683e+35
2.8373036165162118,0.001,5.8820677501192156e+35,1.0414313206057791e+35
2.890159717909509,0.001,5.936486187672131e+35,1.0192120901225791e+35
2.944000475100034,0.001,5.990732494717372e+35,9.97391483645942e+34
2.9988442312310277,0.001,6.0448056609198204e+35,9.75962763167389e+34
3.054709671159968,0.001,6.098704596923827e+35,9.54919560448315e+34
3.1116158278243597,0.001,6.152427907414549e+35,9.342562349155804e+34
3.169582088726115,0.001,6.2059736222852174e+35,9.139682913320378e+34
3.22862820253673,0.001,6.2593388807889066e+35,8.940528642326924e+34
3.28877428582551,0.001,6.312519563031453e+35,8.745092768125468e+34
3.350040829913133,0.001,6.365509862592107e+35,8.553396827107677e+34
3.412448707852889,0.001,6.418302008594662e+35,8.365494624760338e+34
3.4760191815419774,0.001,6.4709030121799866e+35,8.181199115686998e+34
3.54077390896527,0.001,6.523314809106725e+35,8.000373300976855e+34
3.606734951574028,0.001,6.575529830292216e+35,7.823026531890797e+34
3.673924781802074,0.001,6.627541325017243e+35,7.649159093636996e+34
3.742366290721981,0.001,6.679343386539207e+35,7.478762106196285e+34
3.812082795843888,0.001,6.730930970289845e+35,7.311817512883347e+34
3.883098049059605,0.001,6.782299903228521e+35,7.148298171441377e+34
3.9554362447347016,0.001,6.833446882750308e+35,6.988168064167299e+34
4.029122027951348,0.001,6.884369463359077e+35,6.831382645430533e+34
4.104180502904709,0.001,6.93506602910795e+35,6.677889346995803e+34
4.1806372414557575,0.001,6.985535749581198e+35,6.527628263805586e+34
4.258518291843414,0.001,7.035778516940936e+35,6.380533045338482e+34
4.337850187558988,0.001,7.085794861286914e+35,6.236532020354894e+34
4.418659956385942,0.001,7.13558584127609e+35,6.095549585791879e+34
4.5009751296080465,0.001,7.185152906618127e+35,5.957507893797467e+34
4.584823751389096,0.001,7.234497728700888e+35,5.822328874425205e+34
4.67023438832733,0.001,7.283621995203665e+35,5.689936635369357e+34
4.757236139187884,0.001,7.332527164122243e+35,5.560260284337868e+34
4.845858644816491,0.001,7.381214172155574e+35,5.433237224266043e+34
4.936132098237912,0.001,7.42968309188548e+35,5.308816976601565e+34
5.028087254942474,0.001,7.477932731614316e+35,5.186965593378569e+34
5.121755443364236,0.001,7.525960171106852e+35,5.067670724783834e+34
5.217168575554344,0.001,7.573760225807269e+35,4.950947415444946e+34
5.314359158053236,0.001,7.621324974124673e+35,4.836843179112214e+34
5.413360302965375,0.001,7.66866446803299e+35,4.725208195399125e+34
5.514205739240296,0.001,7.715785471444804e+35,4.615905001227905e+34
5.616929824163804,0.001,7.762681876585655e+35,4.508931559403724e+34
5.721567555063246,0.001,7.809348437107174e+35,4.4042795409595045e+34
5.82815458123084,0.001,7.85578078965536e+35,4.301934288029013e+34
