t,k,delta_fdm,delta_dot_fdm
0.9726933615426169,0.001,2.620468151528305e+35,2.9725770845045157e+35
0.9908136566858666,0.001,2.6739939718482107e+35,2.934259589800909e+35
1.0092715146305709,0.001,2.727809120751155e+35,2.8956781607262604e+35
1.0280732238308647,0.001,2.781900239065404e+35,2.856877758434913e+35
1.0472251898884344,0.001,2.836253980250408e+35,2.817902984632963e+35
1.066733937734857,0.001,2.8908571152339112e+35,2.7787974756921637e+35
1.0866061138545968,0.001,2.9456966515760642e+35,2.739603202334046e+35
1.106848488549412,0.001,3.0007599684066187e+35,2.7003596643211597e+35
1.127467958244946,0.001,3.0560349687110967e+35,2.6611029685706126e+35
1.148471547840289,0.001,3.1115102506826145e+35,2.621864777992154e+35
1.1698664131013068,0.001,3.1671753000087053e+35,2.5826711171410888e+35
1.1916598430985588,0.001,3.223020705128054e+35,2.543541019456943e+35
1.2138592626906277,0.001,3.279038397671466e+35,2.5044849994229392e+35
1.236472235053715,0.001,3.3352219204959215e+35,2.4655033314191317e+35
1.2595064642583575,0.001,3.3915647547407284e+35,2.4266083132092288e+35
1.2829697978941474,0.001,3.448054012475663e+35,2.3878660728753622e+35
1.3068702297433463,0.001,3.5046778434341496e+35,2.349296987393519e+35
1.3312159025043078,0.001,3.561424640600444e+35,2.310917835850691e+35
1.3560151105656333,0.001,3.61828286128286e+35,2.2727453226662273e+35
1.3812763028320094,0.001,3.675241058229309e+35,2.234796029528918e+35
1.407008085602685,0.001,3.732287911494784e+35,2.1970863643079782e+35
1.433219225503574,0.001,3.78941226086957e+35,2.159632506891332e+35
1.4599186524739787,0.001,3.846603138641489e+35,2.1224503519177663e+35
1.4871154628089538,0.001,3.903849802426007e+35,2.085555448384845e+35
1.5148189222583457,0.001,3.961141767753836e+35,2.0489629361323086e+35
1.5430384691835646,0.001,4.018468840056576e+35,2.012687479221158e+35
1.5717837177731626,0.001,4.075821145636264e+35,1.9767431962521905e+35
1.6010644613183176,0.001,4.133189161144068e+35,1.9411435876945915e+35
1.6308906755493326,0.001,4.190563741026027e+35,1.905901460325773e+35
1.661272522034293,0.001,4.247936142319268e+35,1.8710288489182588e+35
1.6922203516410372,0.001,4.305298046099625e+35,1.8365369353485748e+35
1.72374470806362,0.001,4.3626415747905045e+35,1.8024359653471967e+35
1.7558563314144686,0.001,4.419959304442168e+35,1.768735163158178e+35
1.7885661618834618,0.001,4.477244270979672e+35,1.7354426444326663e+35
1.8218853434651652,0.001,4.5344899692953275e+35,1.702565327742745e+35
1.855825227755517,0.001,4.5916903439269e+35,1.670108845171486e+35
1.8903973778192196,0.001,4.6488397699144795e+35,1.6380774525126346e+35
1.9256135721291967,0.001,4.705933022266089e+35,1.606473939699535e+35
1.9614858085794296,0.001,4.762965232282984e+35,1.5752995421788182e+35
1.9980263085725487,0.001,4.819931828799026e+35,1.5445538540507813e+35
2.035247521183576,0.001,4.876828462172844e+35,1.5142347439163323e+35
2.073162127401229,0.001,4.93365090863491e+35,1.4843382745010256e+35
2.111783044448242,0.001,4.990394952332457e+35,1.4548586272711425e+35
2.1511234301821647,0.001,5.04705688083362e+35,1.4257900300773253e+35
2.1911966875781475,0.001,5.103632104241331e+35,1.3971381563761557e+35
2.2320164692952322,0.001,5.160110815479911e+35,1.3689096344934499e+35
2.273596682327715,0.001,5.216483369592589e+35,1.3411097238653865e+35
2.3159514927431517,0.001,5.272740735855656e+35,1.3137426651967483e+35
2.3590953305086337,0.001,5.32887453001767e+35,1.286811652016567e+35
2.403042894406967,0.001,5.384877041960675e+35,1.2603188101329386e+35
2.44780915704444,0.001,5.44074125774683e+35,1.2342651864825454e+35
2.493409369951878,0.001,5.496460874883717e+35,1.2086507490484346e+35
2.5398590687807236,0.001,5.5520303094981646e+35,1.1834743997153239e+35
2.587174078595921,0.001,5.6074446939504186e+35,1.1587340021468063e+35
2.635370519267393,0.001,5.662699863246652e+35,1.1344264270050226e+35
2.684464810961962,0.001,5.717792328416607e+35,1.1105476170925601e+35
2.73447367973758,0.001,5.772719234813084e+35,1.0870926752806165e+35
2.7854141632417657,0.001,5.827478303059282e+35,1.0640559783990375e+35
2.8373036165162118,0.001,5.882067750116832e+35,1.0414313206051427e+35
2.890159717909509,0.001,5.936486187669716e+35,1.0192120901219527e+35
2.944000475100034,0.001,5.990732494714923e+35,9.973914836453263e+34
2.9988442312310277,0.001,6.0448056609173375e+35,9.759627631667847e+34
3.054709671159968,0.001,6.098704596921309e+35,9.549195604477228e+34
3.1116158278243597,0.001,6.152427907411997e+35,9.342562349150008e+34
3.169582088726115,0.001,6.20597362228263e+35,9.139682913314702e+34
3.22862820253673,0.001,6.259338880786283e+35,8.94052864232136e+34
3.28877428582551,0.001,6.312519563028795e+35,8.745092768120002e+34
3.350040829913133,0.001,6.365509862589414e+35,8.553396827102283e+34
3.412448707852889,0.001,6.4183020085919366e+35,8.365494624754986e+34
3.4760191815419774,0.001,6.4709030121772225e+35,8.1811991156817795e+34
3.54077390896527,0.001,6.523314809103925e+35,8.000373300971747e+34
3.606734951574028,0.001,6.57552983028938e+35,7.823026531885784e+34
3.673924781802074,0.001,6.6275413250143735e+35,7.649159093632064e+34
3.742366290721981,0.001,6.679343386536305e+35,7.478762106191423e+34
3.812082795843888,0.001,6.73093097028691e+35,7.311817512878547e+34
3.883098049059605,0.001,6.782299903225555e+35,7.148298171436631e+34
3.9554362447347016,0.001,6.83344688274731e+35,6.988168064162603e+34
4.029122027951348,0.001,6.884369463356047e+35,6.831382645425886e+34
4.104180502904709,0.001,6.935066029104887e+35,6.677889346991204e+34
4.1806372414557575,0.001,6.985535749578105e+35,6.527628263801041e+34
4.258518291843414,0.001,7.03577851693781e+35,6.380533045333994e+34
4.337850187558988,0.001,7.085794861283755e+35,6.236532020350468e+34
4.418659956385942,0.001,7.135585841272896e+35,6.095549585787526e+34
4.5009751296080465,0.001,7.185152906614898e+35,5.957507893793192e+34
4.584823751389096,0.001,7.234497728697624e+35,5.822328874421016e+34
4.67023438832733,0.001,7.283621995200363e+35,5.68993663536526e+34
4.757236139187884,0.001,7.332527164118905e+35,5.560260284333868e+34
4.845858644816491,0.001,7.381214172152197e+35,5.433237224262144e+34
4.936132098237912,0.001,7.429683091882067e+35,5.308816976597761e+34
5.028087254942474,0.001,7.477932731610866e+35,5.186965593374856e+34
5.121755443364236,0.001,7.525960171103363e+35,5.067670724780195e+34
5.217168575554344,0.001,7.573760225803746e+35,4.9509474154413565e+34
5.314359158053236,0.001,7.621324974121118e+35,4.836843179108643e+34
