t,k,delta_fdm,delta_dot_fdm,scale_factor_a
1.2595064642583575,0.01,0.00015078705244068544,7.974430574655236e-05,1.166273122635012
1.3068702297433463,0.01,0.00015454131783074326,7.877210128297094e-05,1.1953313501153702
1.3560151105656333,0.01,0.0001583881735628873,7.781338249120446e-05,1.2251135766041186
1.407008085602685,0.01,0.00016233003231895857,7.686754237010339e-05,1.2556378408671975
1.4599186524739787,0.01,0.0001663694597193781,7.59338190468664e-05,1.2869226311146387
1.5148189222583457,0.01,0.00017050917520108972,7.501135916118657e-05,1.31898689619867
1.5717837177731626,0.01,0.00017475204720633066,7.40993117179956e-05,1.3518500570908265
1.6308906755493326,0.01,0.0001791010807319772,7.319696052144737e-05,1.3855320186450188
1.6922203516410372,0.01,0.00018355939482399432,7.230390504716982e-05,1.4200531816536826
1.7558563314144686,0.01,0.00018813018704146798,7.14203016904824e-05,1.4554344552043144
1.8218853434651652,0.01,0.00019281668239835875,7.054691145230615e-05,1.4916972693438735
1.8903973778192196,0.01,0.00019762179509632869,6.968239201637596e-05,1.5288635880587296
1.9614858085794296,0.01,0.0002025478706030473,6.882688598787502e-05,1.5669559225779999
2.035247521183576,0.01,0.00020759728943588632,6.798113773345416e-05,1.6059973450083576
2.111783044448242,0.01,0.00021277255289765007,6.714576401524358e-05,1.6460115023085495
2.1911966875781475,0.01,0.0002180762996589887,6.632123744360928e-05,1.6870226306121008
2.273596682327715,0.01,0.00022351132287243416,6.550787193377741e-05,1.72905556990687
2.3590953305086337,0.01,0.0002290805873710381,6.470581141375549e-05,1.7721357790803585
2.44780915704444,0.01,0.00023478724634384227,6.391502337016477e-05,1.8162893513398761
2.5398590687807236,0.01,0.00024063465668129044,6.313529923076756e-05,1.8615430300169102
2.635370519267393,0.01,0.00024662639193839917,6.236626408166861e-05,1.907924224765265
2.73447367973758,0.01,0.00025276625156280593,6.16073988199603e-05,1.955461028162787
2.8373036165162118,0.01,0.00025905826466775803,6.0858078568511085e-05,2.00418223272673
2.944000475100034,0.01,0.0002655066861837345,6.011763205169571e-05,2.0541173483530644
3.054709671159968,0.01,0.000272115982681391,5.938542767624849e-05,2.1052966201902947
3.169582088726115,0.01,0.0002788908045047901,5.8660993311990614e-05,2.157751046958615
3.28877428582551,0.01,0.00028583594006608315,5.7944178260445596e-05,2.2115123997254886
3.412448707852889,0.01,0.0002929562472057802,5.7235367679383335e-05,2.2666132411490345
3.54077390896527,0.01,0.0003002565295951064,5.653467739411163e-05,2.3230869452008704
3.673924781802074,0.01,0.00030774082339353394,5.5841140484435916e-05,2.3809677173803583
3.812082795843888,0.01,0.00031541276852274717,5.515531726699039e-05,2.4402906154324975
3.9554362447347016,0.01,0.00032327618072840837,5.447771801853753e-05,2.501091570582016
4.104180502904709,0.01,0.00033133508212237155,5.380873946428564e-05,2.563407409296515
4.258518291843414,0.01,0.000339593726190564,5.31486531588616e-05,2.627275875591853
4.418659956385942,0.01,0.0003480566226971459,5.2497596434812315e-05,2.692735653893284
4.584823751389096,0.01,0.00035672856151593315,5.185556717828088e-05,2.7598263924661803
4.757236139187884,0.01,0.00036561463410927344,5.12224240192022e-05,2.828588727430555
4.936132098237912,0.01,0.0003747202509921865,5.0597893920300036e-05,2.8990643073739126
5.121755443364236,0.01,0.000384051153051345,4.998158962853042e-05,2.971295818577332
5.314359158053236,0.01,0.00039361341401747505,4.937304002996183e-05,3.0453270108700803
5.514205739240296,0.01,0.00040341343069594986,4.8771737142742243e-05,3.1212027241284015
5.721567555063246,0.01,0.0004134578967201141,4.817720431435919e-05,3.1989689154345355
5.93672721606912,0.01,0.0004237537545772608,4.758909118424831e-05,3.278672686912412
6.1599779603801625,0.01,0.0004343081194352362,4.700730216080539e-05,3.3603623142568924
6.391624053343999,0.01,0.0004451281668295406,4.643216657808915e-05,3.444087275973821
6.6319812022126685,0.01,0.00045622109840295634,4.5863613901117513e-05,3.529898283348612
6.881376986415662,0.01,0.00046759312505370495,4.530101028741918e-05,3.617847311161516
7.140151304013395,0.01,0.0004792498609855486,4.4744806157994374e-05,3.7079876291681697
7.40865683493956,0.01,0.0004911972066366974,4.4195376530813384e-05,3.800373834364499
7.687259521663728,0.01,0.000503441388719186,4.365300068291783e-05,3.8950618840555182
7.976339067929273,0.01,0.0005159889965130062,4.311785378994285e-05,3.9921091297480507
8.276289456246344,0.01,0.0005288470169851967,4.259000113529015e-05,4.091574351887905
8.58751948484517,0.01,0.000542022866986352,4.206939603584707e-05,4.193517795462541
8.910453324821512,0.01,0.0005555244202456552,4.155588292328264e-05,4.298001206490795
9.24553109823357,0.01,0.0005693600262340609,4.104920737325339e-05,4.405087869421763
9.59320947793824,0.01,0.0005835385171699145,4.054903530091447e-05,4.514842645465489
9.953962309984233,0.01,0.0005980691984739678,4.0054984053626006e-05,4.627332011878689
10.328281259410284,0.01,0.0006129618168082257,3.95666687467716e-05,4.742624102229291
10.716676480328633,0.01,0.0006282264984160671,3.90837679251176e-05,4.860788747664181
11.119677311206988,0.01,0.0006438736487733233,3.860611351242839e-05,4.981897519205161
11.53783299629661,0.01,0.0006599138025068629,3.8133811062313084e-05,5.106023771098732
11.971713434189656,0.01,0.0006763575690359745,3.766713345661639e-05,5.233242685245938
12.42190995452616,0.01,0.0006932152097094024,3.720541890992013e-05,5.363631316739237
12.889036123908916,0.01,0.0007104952683740058,3.674887074397523e-05,5.497268640533894
13.373728582124949,0.01,0.0007282065161094518,3.629780063599622e-05,5.634235599282256
13.87664790981307,0.01,0.0007463582042146166,3.5852443115090385e-05,5.774615152359817
14.398479528760065,0.01,0.0007649601164561057,3.541294879949453e-05,5.918492326112802
14.939934636052563,0.01,0.0007840226192025816,3.4979379721558855e-05,6.06595426535768
15.50175117335769,0.01,0.0008035567067800504,3.455170767219591e-05,6.217090286163825
16.08469483265355,0.01,0.0008235740385819648,3.4129816733879236e-05,6.371991929951263
16.68956009978023,0.01,0.0008440869634862633,3.371351145834808e-05,6.530753018936313
17.31717133723353,0.01,0.0008651085259336801,3.330253249137422e-05,6.693469712958658
