t,k,delta_cdm,delta_dot_cdm,scale_factor_a
136.85874245025175,0.01,0.003432337915626906,1.6717867570942312e-05,26.557164074342733
142.00531816536818,0.01,0.0035178676009583365,1.651322841536353e-05,27.218847945751772
147.34543096198342,0.01,0.00360551663555137,1.631131643144503e-05,27.897017973004
152.88635880587293,0.01,0.0036953375767666587,1.6112080038723263e-05,28.592084916201383
158.63565335085895,0.01,0.0037873859175169672,1.5915433080297992e-05,29.304469769721415
164.60115023085496,0.01,0.0038817200489526123,1.5721263023315666e-05,30.034604017208768
170.79097973894267,0.01,0.003978401092697724,1.5529443899082524e-05,30.78292989292018
177.21357790803583,0.01,0.004077492559445606,1.5339855299892878e-05,31.549900649580856
183.8776980082327,0.01,0.00417905978051302,1.5152409038235527e-05,32.33598083291466
190.7924224765265,0.01,0.00428316904667141,1.4967085418820594e-05,33.141646563014305
197.96717529513325,0.01,0.004389886474674013,1.4783977229051697e-05,33.967385822722065
205.41173483530642,0.01,0.004499282750129733,1.4602955141928282e-05,34.81369875319559
213.13624718414374,0.01,0.004611419639720121,1.4423958599793249e-05,35.681097956837874
221.15123997254886,0.01,0.004726355233459877,1.4247099080250378e-05,36.5701088077749
229.4676367231936,0.01,0.004844150811055559,1.4072457555093574e-05,37.48126977006892
238.0967717380358,0.01,0.004964871145622669,1.3900082306713796e-05,38.41513272386021
247.05040554568257,0.01,0.005088584779447394,1.372998772809498e-05,39.3722632996348
256.3407409296515,0.01,0.0052153642509687554,1.3562154511131113e-05,40.35324122082057
265.98043955937584,0.01,0.0053452862462264415,1.3396531729081496e-05,41.3586606549194
275.982639246618,0.01,0.005478431640780535,1.3233041441050338e-05,42.38913057338779
286.3609718508116,0.01,0.005614885389306241,1.3071586593390124e-05,43.44527512048423
297.1295818577334,0.01,0.0057547362093971575,1.291206316955207e-05,44.52773399130642
308.30314565682767,0.01,0.005898075993217926,1.2754377751635509e-05,45.63716281924759
319.89689154345376,0.01,0.006044998865109922,1.2598471910186013e-05,46.77423357310638
331.9266204733183,0.01,0.006195599784575626,1.244435514125977e-05,47.93963496409085
344.40872759738164,0.01,0.006349974450390652,1.2292098423029157e-05,49.134072862963556
357.3602246065781,0.01,0.00650822368870708,1.214152742773006e-05,50.35827072757927
370.7987629168165,0.01,0.006670431634398492,1.1992684272032733e-05,51.61297004107567
384.7426577258498,0.01,0.006836683299930046,1.1845652383824568e-05,52.89893076098145
399.2109129748045,0.01,0.007007068436792707,1.1700488978816217e-05,54.216931779514184
414.22324724838893,0.01,0.00718168195464822,1.1557223536305046e-05,55.56777139534679
429.80012064907896,0.01,0.007360624288697189,1.1415857222070217e-05,56.95226779712818
445.9627626819086,0.01,0.007544001682104542,1.1276363627967753e-05,58.37125955905111
462.73320118786836,0.01,0.0077319263410857925,1.1138691288781373e-05,59.82560614876734
480.1342923653445,0.01,0.007924516409008731,1.1002768546637864e-05,61.31618844795767
498.1897519205155,0.01,0.008121895692205946,1.0868511465343343e-05,62.843909285872286
516.9241873891593,0.01,0.00832419305366032,1.0735835655495234e-05,64.40969398616444
536.3631316739234,0.01,0.008531541370771067,1.060467306106733e-05,66.0144909273488
556.533077842764,0.01,0.008744075929386315,1.0474994985106908e-05,67.65927211722388
577.4615152359814,0.01,0.008961932097438856,1.0346842902988051e-05,69.34503378160636
599.1769669310612,0.01,0.009185251629768257,1.0220202169526119e-05,71.07279696773409
621.709028616382,0.01,0.00941416977290199,1.0094961711274529e-05,72.84360816270326
645.0884089267686,0.01,0.00964880502793425,9.97119944004956e-06,74.65853992731387
669.3469712958654,0.01,0.00988928211721126,9.848975022378146e-06,76.51869154570815
694.5177773823689,0.01,0.01013573282227141,9.728325566375578e-06,78.42518969119477
720.6351321293045,0.01,0.010388296549544396,9.60926469492173e-06,80.3791891086624
747.7346305177581,0.01,0.010647120800083518,9.491782549243971e-06,82.381873313996
775.8532060787828,0.01,0.010912361489786587,9.375847066201777e-06,84.43445531091928
805.0291812295973,0.01,0.011184183052022319,9.261406955735288e-06,86.53817832569773
835.302319502677,0.01,0.01146275823689414,9.148396905132964e-06,88.69431656014702
866.7138797389224,0.01,0.011748267499934009,9.036745657180174e-06,90.90417596340295
899.3066723187613,0.01,0.012040897847106286,8.926387753625612e-06,93.16909502292046
933.125117507824,0.01,0.01234084097176812,8.817279908163237e-06,95.49044557518076
968.2153059967076,0.01,0.0126482904816785,8.709423179468502e-06,97.86963363659741
1004.6250617173404,0.01,0.012963440722886825,8.602868983007085e-06,100.30810025512513
1042.4040070215558,0.01,0.013286499293659484,8.497503437621564e-06,102.80732238308644
1081.6036303107094,0.01,0.013617640446771988,8.393343869663175e-06,105.36881377174562
1122.2773562085072,0.01,0.013957037871311934,8.290448684005938e-06,107.99412588817091
1164.4806183726855,0.01,0.01430487492036976,8.188857999584038e-06,110.68484885494117
1208.2709350447758,0.01,0.014661345458279651,8.088592594478812e-06,113.44261241326546
1253.7079874409196,0.01,0.015026654599780805,7.989653515586772e-06,116.2690869100994
1300.8537010905704,0.01,0.015401019272872307,7.892022611730003e-06,119.16598430985584
1349.7723302339418,0.01,0.015784668518189833,7.795664312772908e-06,122.1350592313228
1400.5305453932197,0.01,0.016177843414649083,7.700529054147562e-06,125.17811001041672
1453.1975242368956,0.01,0.016580796493075506,7.606558838633879e-06,128.29697978941473
1507.8450458610512,0.01,0.016993790465621963,7.513695538199522e-06,131.49355763332548
1564.547588616096,0.01,0.017417096057844184,7.421892671602662e-06,134.76977967407512
1623.3824316122782,0.01,0.017850988681034637,7.331131552326163e-06,138.12763028320092
1684.4297600423151,0.01,0.018295743623250028,7.241442890979178e-06,141.5691432737632
